タイトル名,評価,視聴数,制作会社,声優,主題歌・挿入歌,あらすじ
小市民シリーズ 第1期（2024年製作のアニメ）,3.5,2207,ラパントラック,"['梅田修一朗', '羊宮妃那', '古川慎']",['Eve'],たがいに助け合い、完全な小市民を目指そう。
SPY×FAMILY Season1 第2クール（2022年製作のアニメ）,4.1,21724,WIT STUDIO,"['江口拓也', '種﨑敦美', '早見沙織', '松田健一郎', '吉野裕行', '甲斐田裕子', '山路和弘']","['BUMP OF CHICKEN', 'yama']","人はみな　誰にも見せぬ自分を　持っている――
世界各国が水面下で熾烈な情報戦を繰り広げていた時代。
東国(オスタニア)と西国(ウェスタリス)は、十数年間にわたる冷戦状態にあった。
西国の情報局対東課〈WISE(ワイズ)〉所属である凄腕スパイの〈黄昏(たそがれ)〉は、東西平和を脅かす危険人物、東国の国家統一党総裁ドノバン・デズモンドの動向を探るため、ある極秘任務を課せられる。
その名も、オペレーシ…"
無職転生 ～異世界行ったら本気だす～ 第1クール（2021年製作のアニメ）,4.1,14926,スタジオバインド,"['内山夕実', '小原好美', '加隈亜衣', '茅野愛衣', '森川智之', '金元寿子', 'Lynn']",['大原ゆい子'],本気で生きたい
ゴールデンカムイ（2018年製作のアニメ）,4.1,17151,ジェノスタジオ,"['小林親弘', '白石晴香', '伊藤健太郎', '中田譲治', '菅生隆之']","['MAN WITH A MISSION', 'THE SIXTH LIE']",杉元とアシ（リ）パの新たな旅が始まる！！アイヌから奪われた金塊を巡る生存競争サバイバル、新章開幕ッッ！！！
ホリミヤ（2021年製作のアニメ）,4.0,15432,CloverWorks,"['戸松遥', '内山昂輝', '山下誠一郎', '小坂井祐莉絵', '岡本信彦']","['神山羊', 'フレンズ']","つながって、絡み合って、世界は日々、変わってく。
シリーズ累計570万部を突破した超人気漫画、「ホリミヤ」がついにアニメ化！！
堀 京子（ルビ：ほりきょうこ）は、美人で成績も良く学校ではクラスの中心的存在。だけど実は共働きの両親に代わり、寄り道もせず家事や年の離れた弟の面倒に勤しむ家庭的な高校生。
ある日、ケガをした弟 創太を見知らぬ男が堀の家に送り届けに来た。
「堀さん」
そう呼ばれ話してみる…"
地獄楽 第1期（2023年製作のアニメ）,3.9,12443,MAPPA,"['小林千晃', '高橋李依', '木村良平', '稲田徹', '花守ゆみり', '市川蒼', '小野賢章']","['millennium parade', '椎名林檎', 'Uru']",累計400万部超えの大人気のジャンプ＋作品がついにアニメ化！時は江戸時代末期。抜け忍として囚われ死罪人となった元・石隠れ最強の忍“画眉丸”は、極楽浄土と噂される島から「不老不死の仙薬」を持ち帰れば無罪放免となれることを告げられる。画眉丸は最愛の妻と再会するため、打ち首執行人“山田浅ェ門佐切”とともに仙薬があるという島へ向かうことに。島に上陸した画眉丸と佐切に立ち塞がったのは、同じく仙薬を求める死…
わたしの幸せな結婚（2023年製作のアニメ）,3.8,7552,キネマシトラス,"['上田麗奈', '石川界人', '佐倉綾音', '西山宏太朗', '桑島法子', '下野紘', '木村良平']","['りりあ。', '伊東歌詞太郎']",これは、少女があいされて幸せになるまでの物語。
四月は君の嘘（2014年製作のアニメ）,4.2,10694,A-1 Pictures,"['花江夏樹', '種田梨沙', '佐倉綾音', '逢坂良太', '早見沙織', '梶裕貴', '茅野愛衣']","['Goose house', 'wacci', 'コアラモード', 'seven oops']",「14歳の春--僕は、君と走りはじめる」 からっぽになった少年が一人の少女と出逢う。少女の、自由で情熱的な音楽の調べが、少年の止まっていた時間を突き動かす。 11歳の冬--早熟の天才ピアニスト・有馬公生は母親を失ったショックから演奏をするとピアノの音が聴こえなくなるというトラウマを背負ってしまう。以来、少年は次第にピアノから遠ざかっていく。 ピアノと母親を失った彼の日常はモノトーンのように色をな…
SLAM DUNK（1993年製作のアニメ）,4.4,9351,東映アニメーション,"['草尾毅', '平松晶子', '梁田清之', '緑川光', '置鮎龍太郎']","['BAAD', 'ZYYG', '大黒摩季', 'WANDS', 'MANISH', 'ZARD']","桜木花道は、中学校三年間で50人もの女子生徒にふられ続けた悲しい男。
50人目の女子生徒に「私、バスケット部の小田君が好きなの」と言われたショックが尾を引いて、湖北高校へ入学してからも“バスケット”という言葉に異常に反応し、立ち直れない状態だった。
そんなある日のこと、廊下で一人の美少女から声をかけられる。
「バスケットはお好きですか？」その女生徒・晴子がモロに自分の好みであったため、花道は何の…"
弱虫ペダル（2013年製作のアニメ）,4.1,7865,トムス・エンタテインメント,"['山下大輝', '鳥海浩輔', '福島潤', '安元洋貴', '森久保祥太郎', '伊藤健太郎', '岸尾だいすけ']","[""ROOKiEZ is PUNK'D"", 'MAGIC OF LiFE', 'アンダーグラフ']",今、約束の時――！
